epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2201.85,0.74162,0.35819,0.79745,0.88919,0.58802,0.70635,0.50303,0.69106,0.32244,0.78905,0.003862,0.003862,0.003862
64,2236.82,0.74189,0.35697,0.79865,0.88846,0.5884,0.70638,0.5032,0.68872,0.32065,0.78903,0.003763,0.003763,0.003763
65,2271.86,0.74056,0.3573,0.7985,0.8887,0.59127,0.70943,0.50466,0.68856,0.31907,0.78868,0.003664,0.003664,0.003664
66,2306.78,0.7376,0.35361,0.79889,0.88721,0.5924,0.71053,0.50547,0.68737,0.31824,0.78858,0.003565,0.003565,0.003565
67,2341.57,0.73586,0.35415,0.7975,0.8873,0.59236,0.7101,0.50487,0.68873,0.31841,0.7889,0.003466,0.003466,0.003466
68,2376.63,0.7308,0.35156,0.79715,0.88709,0.59297,0.71081,0.50595,0.68861,0.31748,0.78886,0.003367,0.003367,0.003367
69,2411.81,0.73344,0.35157,0.79671,0.88835,0.59418,0.71263,0.5077,0.68744,0.3178,0.7887,0.003268,0.003268,0.003268
70,2446.8,0.73001,0.35026,0.79729,0.88801,0.59586,0.71343,0.50776,0.68607,0.31598,0.78851,0.003169,0.003169,0.003169
71,2481.76,0.72676,0.34908,0.79665,0.88768,0.59498,0.71125,0.50795,0.68465,0.31623,0.78835,0.00307,0.00307,0.00307
72,2516.69,0.72557,0.34827,0.79731,0.88687,0.59372,0.71169,0.50837,0.68313,0.31593,0.78804,0.002971,0.002971,0.002971
73,2551.43,0.72652,0.34728,0.79591,0.88984,0.59388,0.71303,0.5094,0.68386,0.31611,0.78825,0.002872,0.002872,0.002872
74,2586.26,0.71976,0.34478,0.79594,0.88762,0.59565,0.71275,0.50922,0.68421,0.31609,0.78811,0.002773,0.002773,0.002773
75,2621.23,0.72054,0.34393,0.79591,0.88799,0.59519,0.71373,0.50921,0.68355,0.31515,0.78802,0.002674,0.002674,0.002674
76,2656.15,0.71328,0.3415,0.7945,0.88987,0.5927,0.71392,0.50991,0.68338,0.31452,0.78803,0.002575,0.002575,0.002575
77,2691.25,0.71715,0.34225,0.79454,0.88639,0.59423,0.71396,0.51045,0.6826,0.31409,0.78815,0.002476,0.002476,0.002476
